"","gbifID","accessRights","bibliographicCitation","language","license","modified","publisher","references","rightsHolder","type","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","occurrenceID","catalogNumber","recordNumber","recordedBy","recordedByID","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","caste","behavior","vitality","establishmentMeans","degreeOfEstablishment","pathway","georeferenceVerificationStatus","occurrenceStatus","preparations","disposition","associatedOccurrences","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","organismName","organismScope","associatedOrganisms","previousIdentifications","organismRemarks","materialEntityID","materialEntityRemarks","verbatimLabel","materialSampleID","eventID","parentEventID","eventType","fieldNumber","eventDate","eventTime","startDayOfYear","endDayOfYear","year","month","day","verbatimEventDate","habitat","samplingProtocol","sampleSizeValue","sampleSizeUnit","samplingEffort","fieldNotes","eventRemarks","locationID","higherGeographyID","higherGeography","continent","waterBody","islandGroup","island","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","verticalDatum","verbatimDepth","minimumDistanceAboveSurfaceInMeters","maximumDistanceAboveSurfaceInMeters","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","pointRadiusSpatialFit","verbatimCoordinateSystem","verbatimSRS","footprintWKT","footprintSRS","footprintSpatialFit","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceRemarks","geologicalContextID","earliestEonOrLowestEonothem","latestEonOrHighestEonothem","earliestEraOrLowestErathem","latestEraOrHighestErathem","earliestPeriodOrLowestSystem","latestPeriodOrHighestSystem","earliestEpochOrLowestSeries","latestEpochOrHighestSeries","earliestAgeOrLowestStage","latestAgeOrHighestStage","lowestBiostratigraphicZone","highestBiostratigraphicZone","lithostratigraphicTerms","group","formation","member","bed","identificationID","verbatimIdentification","identificationQualifier","typeStatus","identifiedBy","identifiedByID","dateIdentified","identificationReferences","identificationVerificationStatus","identificationRemarks","taxonID","scientificNameID","acceptedNameUsageID","parentNameUsageID","originalNameUsageID","nameAccordingToID","namePublishedInID","taxonConceptID","scientificName","acceptedNameUsage","parentNameUsage","originalNameUsage","nameAccordingTo","namePublishedIn","namePublishedInYear","higherClassification","kingdom","phylum","class","order","superfamily","family","subfamily","tribe","subtribe","genus","genericName","subgenus","infragenericEpithet","specificEpithet","infraspecificEpithet","cultivarEpithet","taxonRank","verbatimTaxonRank","vernacularName","nomenclaturalCode","taxonomicStatus","nomenclaturalStatus","taxonRemarks","datasetKey","publishingCountry","lastInterpreted","elevation","elevationAccuracy","depth","depthAccuracy","distanceFromCentroidInMeters","issue","taxonomicIssue","nonTaxonomicIssue","mediaType","hasCoordinate","hasGeospatialIssues","taxonKey","acceptedTaxonKey","kingdomKey","phylumKey","classKey","orderKey","superfamilyKey","familyKey","subfamilyKey","tribeKey","subtribeKey","genusKey","subgenusKey","speciesKey","species","acceptedScientificName","verbatimScientificName","typifiedName","protocol","lastParsed","lastCrawled","isInvasive","repatriated","relativeOrganismQuantity","projectId","isSequenced","gbifRegion","publishedByGbifRegion","level0Gid","level0Name","level1Gid","level1Name","level2Gid","level2Name","level3Gid","level3Name","iucnRedListCategory"
"1",5108050126,"",NA,"","CC_BY_NC_4_0",2025-04-06 04:55:34,NA,"https://www.inaturalist.org/observations/229160586","Chris Hoess","","","",NA,"iNaturalist","Observations","iNaturalist research-grade observations",NA,"HUMAN_OBSERVATION","",NA,NA,"https://www.inaturalist.org/observations/229160586","229160586","","Chris Hoess","https://orcid.org/0009-0004-8592-4794",NA,NA,NA,NA,NA,"fruits or seeds",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","","Leaves glabrous, eciliate. Young twigs appear hairy in 2 lines.",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2024-07-13T17:06:49","17:06:49-04:00",195,195,2024,7,13,"2024-07-13 17:06:49","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","New Jersey","","","","Woodland, NJ, USA","",NA,NA,NA,NA,"",NA,39.879873,-74.526414,3,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514025412,NA,"","","Chris Hoess","https://orcid.org/0009-0004-8592-4794",2024-07-14 01:24:28,NA,NA,"",170098,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","US",2026-01-08 22:10:03.065,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-01-08 22:10:03.065,2026-01-08 02:05:14.848,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.31_1","New Jersey","USA.31.3_1","Burlington",NA,NA,NA
"2",5103637519,"http://arctosdb.org/home/data/",NA,"en","CC0_1_0",2025-09-08 11:58:00.011,NA,"","","PhysicalObject","UTEP","https://arctos.database.museum/collection/UTEP:Herb",NA,"UTEP","Botany","",NA,"PRESERVED_SPECIMEN","",NA,NA,"https://arctos.database.museum/guid/UTEP:Herb:73428","UTEP:Herb:73428","16217","Collector(s): Kerry Alan Barringer","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","whole organism",NA,NA,NA,NA,"","collector number 16217","",NA,NA,NA,NA,"""[{""""idby"""": """"Kerry Alan Barringer"""", """"made_date"""": """"2006-05-09"""", """"concept_label"""": null, """"short_citation"""": null, """"scientific_name"""": """"Vaccinium caesariense"""", """"sensu_publication"""": null, """"identification_taxa"""": [{""""taxon"""": {""""ftn"""": null, """"name"""": """"Vaccinium caesariense"""", """"ctrms"""": null, """"nctrms"""": [{""""typ"""": """"common name"""", """"term"""": """"New Jersey blueberry""""}], """"source"""": """"Arctos Common Names"""", """"classification_id"""": """"https://arctos.database.museum/name/Vaccinium caesariense#ArctosCommonNames""""}, """"taxon_id"""": """"https://arctos.database.museum/name/Vaccinium caesariense"""", """"variable"""": """"A""""}], """"identification_order"""": 1, """"identification_agents"""": [{""""agent_name"""": """"Kerry Alan Barringer"""", """"agent_identifier"""": """"https://arctos.database.museum/agent/21308553"""", """"identifier_order"""": 1}], """"identification_remarks"""": """"Former nature_of_id: legacy."""", """"identification_attributes"""": null}]""",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-05-09","2006-05-09",129,129,2006,5,9,"09 MAY 2006","",NA,NA,NA,NA,NA,NA,NA,NA,"United States, New Jersey, Morris County","NORTH_AMERICA",NA,NA,NA,"US","New Jersey","Morris County","","Jefferson Township, Newark Watershed Lands, N of Green Pond, W of Green Pond Road","Jefferson Twp, Newark Watershed Lands, N of Green Pond, W of Green Pond Road (41.0285N, 74.4581W) 790 Ft.","",NA,NA,NA,NA,"Kerry Alan Barringer",NA,41.0285,-74.4581,NA,NA,NA,"decimal degrees",NA,NA,NA,NA,"Kerry Alan Barringer",2006-05-09,"not recorded","collector's notes","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Kerry Alan Barringer","",2006-05-09,NA,NA,"Former nature_of_id: legacy.",NA,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"1a9d08bb-9e2c-4540-8f7f-3205846b6ddc","US",2025-11-25 16:01:34.234,241,0,NA,NA,NA,"CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH",NA,NA,"",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"EML",2025-11-25 16:01:34.234,2025-11-24 14:02:41.258,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.31_1","New Jersey","USA.31.14_1","Morris",NA,NA,NA
"3",5070897588,"",NA,"","CC0_1_0",2025-06-28 00:20:08,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15499810","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3",NA,"MARY","","",NA,"PRESERVED_SPECIMEN","",NA,NA,"dc17c7fc-c62c-4080-8ec2-a1e476b9fbac","MARY1039950","s.n.","Ditman","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","8150","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1930-06-23","",174,174,1930,6,23,"6/23/30","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Maryland","Prince George's","","Beltsville; Hort. Farm","","",NA,NA,NA,NA,"",NA,39.027949,-76.88886,14484,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"",104544,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:37:55.322,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-02-02 22:37:55.322,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.21_1","Maryland","USA.21.16_1","Prince George's",NA,NA,NA
"4",5070897582,"",NA,"","CC0_1_0",2025-06-28 00:20:08,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15499813","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3",NA,"MARY","","",NA,"PRESERVED_SPECIMEN","",NA,NA,"76093b73-aac8-4526-a17a-4f04df75f290","MARY1039947","s.n.","E. A. Higgins","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","8153","Rare",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1965-05-23","",143,143,1965,5,23,"5/23/65","Mesic shrub zone",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Maryland","Worcester","","Assateague Island","","",NA,NA,NA,NA,"",NA,38.0891,-75.208833,40234,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"",104544,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:37:56.342,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-02-02 22:37:56.342,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.21_1","Maryland","USA.21.23_1","Worcester",NA,NA,NA
"5",5070897579,"",NA,"","CC0_1_0",2025-06-28 00:20:08,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15499814","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3",NA,"MARY","","",NA,"PRESERVED_SPECIMEN","",NA,NA,"63eefa18-649c-4174-8b04-d8138b42eaf7","MARY1039949","s.n.","E. A. Higgins","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","8154","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1965-05-23","",143,143,1965,5,23,"5/23/65","Bog",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Maryland","Worcester","","Assateague Island","","",NA,NA,NA,NA,"",NA,38.0891,-75.208833,40234,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"",104544,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:37:56.252,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-02-02 22:37:56.252,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.21_1","Maryland","USA.21.23_1","Worcester",NA,NA,NA
"6",5070897578,"",NA,"","CC0_1_0",2025-06-28 00:20:08,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15499811","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3",NA,"MARY","","",NA,"PRESERVED_SPECIMEN","",NA,NA,"f2552111-b767-48fc-a1c6-e7d2597953e9","MARY1039951","s.n.","Huber J. Penson","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","8151","About at the Fall Line",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1953-04-18","",108,108,1953,4,18,"4/18/53","In low woods",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Maryland","Montgomery","","Chevy Chase","","",NA,NA,NA,NA,"",NA,38.994913,-77.077205,NA,NA,NA,"",NA,NA,NA,NA,"",NA,"","","City or Town Midpoint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"",104544,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:37:55.419,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-02-02 22:37:55.419,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.21_1","Maryland","USA.21.15_1","Montgomery",NA,NA,NA
"7",5070894008,"",NA,"","CC0_1_0",2025-06-28 00:20:08,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=15578467","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3",NA,"MARY","","",NA,"PRESERVED_SPECIMEN","",NA,NA,"f0f2a244-6fdd-4eb3-8c04-ee12f12f6534","MARY1009578","30","Lisa Leigh Johnson","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"reviewed - high confidence","PRESENT","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1989-05-07","",127,127,1989,5,7,"May 7, 1989","along side footpath in woods",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Maryland","Howard","","Scaggsville, next to Patuxent River","","",NA,NA,NA,NA,"",NA,39.145108,-76.900252,3036,NA,NA,"",NA,NA,NA,NA,"jhall (2018-10-27 08:59:02)",NA,"","georef batch tool 2018-10-27; GeoLocate","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"",104544,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:37:58.038,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-02-02 22:37:58.038,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.21_1","Maryland","USA.21.13_1","Howard",NA,NA,NA
"8",5070873273,"",NA,"","CC0_1_0",2025-04-23 02:12:04,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17171033","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3",NA,"MARY","","",NA,"PRESERVED_SPECIMEN","",NA,NA,"972c283c-b730-4330-a576-35aa8a7f6076","MARY1039952","10018","Steven R. Hill","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"reviewed - high confidence","PRESENT","",NA,NA,NA,NA,"","47092","",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1981-05-16","",136,136,1981,5,16,"16 May 1981","in dwarf pine barrens, east plains; on sandy soil",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","New Jersey","Ocean","","1.4 mi W of Rte. 539 on road to naval firing range, 5 mi N of exit 58 on Garden State Parkway","","",NA,NA,NA,NA,"",NA,39.764762,-74.406791,3000,NA,NA,"",NA,NA,NA,NA,"jhall (2020-06-09 13:21:21)",NA,"","georef batch tool 2020-06-09","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"",104544,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:38:01.079,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-02-02 22:38:01.079,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.31_1","New Jersey","USA.31.3_1","Burlington",NA,NA,NA
"9",5070873230,"",NA,"","CC0_1_0",2025-04-23 02:12:04,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17171029","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3",NA,"MARY","","",NA,"PRESERVED_SPECIMEN","",NA,NA,"897d1c5a-004a-4564-a7ea-8085b0ad9cc0","MARY1039948","s.n.","Robert Grout","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"","PRESENT","",NA,NA,NA,NA,"","8152","Plant 6 ft, 7 inches tall",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1955-04-08","",98,98,1955,4,8,"4/8/55","Pine woods, near stagnant pool",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Maryland","Saint Mary's","","Tall Timbers","","",NA,NA,NA,NA,"",NA,38.169017,-76.544956,322,NA,NA,"",NA,NA,NA,NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"",104544,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:38:00.26,NA,NA,NA,NA,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-02-02 22:38:00.26,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.21_1","Maryland","USA.21.18_1","Saint Mary's",NA,NA,NA
"10",5070862692,"",NA,"","CC0_1_0",2025-06-28 00:20:08,NA,"https://midatlanticherbaria.org/portal/collections/individual/index.php?occid=17001993","","","","f08f07c6-fb9a-4b6b-b008-732821e604e3",NA,"MARY","","",NA,"PRESERVED_SPECIMEN","",NA,NA,"18162dd7-0795-47a8-9517-d7cf01cd2a25","MARY1036506","22","Leonard Morrow","",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,"reviewed - high confidence","PRESENT","",NA,NA,NA,NA,"","","Shrub, 6' high.",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1974-04-04","",94,94,1974,4,4,"","",NA,NA,NA,NA,NA,NA,NA,NA,"","NORTH_AMERICA",NA,NA,NA,"US","Maryland","Charles","","Along river at Miller Cabin Block 18S3W","","",NA,NA,NA,NA,"",NA,38.443323,-77.257164,1000,NA,NA,"",NA,NA,NA,NA,"jhall (2020-01-01 00:58:27)",NA,"","georef batch tool 2020-01-01","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","",NA,NA,NA,"",104544,NA,NA,NA,NA,NA,NA,NA,"Vaccinium caesariense Mack.",NA,NA,NA,NA,"",NA,"Plantae|Spermatophyta|Tracheophyta|Magnoliophyta|Eudicots|Core Eudicots|Asterids|Ericales|Ericaceae|Vaccinium","Plantae","Tracheophyta","Magnoliopsida","Ericales",NA,"Ericaceae",NA,NA,NA,"Vaccinium","Vaccinium",NA,NA,"caesariense",NA,NA,"SPECIES",NA,NA,"","ACCEPTED",NA,NA,"877b8fd1-9391-4526-a5e0-f483a5565524","US",2026-02-02 22:38:01.041,NA,NA,NA,NA,NA,"GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;INSTITUTION_MATCH_FUZZY;TAXON_ID_NOT_FOUND",NA,NA,"StillImage",TRUE,FALSE,2882837,2882837,6,7707728,220,1353,NA,2505,NA,NA,NA,2882813,NA,2882837,"Vaccinium caesariense","Vaccinium caesariense Mack.","Vaccinium caesariense",NA,"DWC_ARCHIVE",2026-02-02 22:38:01.041,2026-02-02 21:45:05.725,NA,FALSE,NA,"",FALSE,"NORTH_AMERICA","NORTH_AMERICA","USA","United States","USA.21_1","Maryland","USA.21.8_1","Charles",NA,NA,NA
